size,epsilon,mechanism,error
10000,0.1,<class 'meanlib.Duchi'>,0.1955417339948682
10000,0.1,<class 'meanlib.PiecewiseMechanism'>,0.18321451265872926
10000,0.1,<class 'meanlib.Laplace'>,0.1621073752706352
10000,0.5,<class 'meanlib.Duchi'>,0.029883204513216226
10000,0.5,<class 'meanlib.PiecewiseMechanism'>,0.029274948744968075
10000,0.5,<class 'meanlib.Laplace'>,0.041174712096830476
10000,1.0,<class 'meanlib.Duchi'>,0.020100232946219477
10000,1.0,<class 'meanlib.PiecewiseMechanism'>,0.021836993942768602
10000,1.0,<class 'meanlib.Laplace'>,0.024581170579831623
10000,5.0,<class 'meanlib.Duchi'>,0.0074200794322373115
10000,5.0,<class 'meanlib.PiecewiseMechanism'>,0.002131130884829502
10000,5.0,<class 'meanlib.Laplace'>,0.0032040800874734874
50000,0.1,<class 'meanlib.Duchi'>,0.06126624382364918
50000,0.1,<class 'meanlib.PiecewiseMechanism'>,0.09647475578648776
50000,0.1,<class 'meanlib.Laplace'>,0.10384716333858521
50000,0.5,<class 'meanlib.Duchi'>,0.016449543666589784
50000,0.5,<class 'meanlib.PiecewiseMechanism'>,0.017659300813698507
50000,0.5,<class 'meanlib.Laplace'>,0.01501365878569636
50000,1.0,<class 'meanlib.Duchi'>,0.009525722927277547
50000,1.0,<class 'meanlib.PiecewiseMechanism'>,0.006553099554330415
50000,1.0,<class 'meanlib.Laplace'>,0.01235827633785477
50000,5.0,<class 'meanlib.Duchi'>,0.0029267158669840144
50000,5.0,<class 'meanlib.PiecewiseMechanism'>,0.0007479382517528957
50000,5.0,<class 'meanlib.Laplace'>,0.001980573040612153
100000,0.1,<class 'meanlib.Duchi'>,0.056689509110920314
100000,0.1,<class 'meanlib.PiecewiseMechanism'>,0.05285433137886249
100000,0.1,<class 'meanlib.Laplace'>,0.0652229639910269
100000,0.5,<class 'meanlib.Duchi'>,0.00838530185671975
100000,0.5,<class 'meanlib.PiecewiseMechanism'>,0.009496921196219966
100000,0.5,<class 'meanlib.Laplace'>,0.013854126743542156
100000,1.0,<class 'meanlib.Duchi'>,0.006026610257262148
100000,1.0,<class 'meanlib.PiecewiseMechanism'>,0.005754816185864905
100000,1.0,<class 'meanlib.Laplace'>,0.005317807164007382
100000,5.0,<class 'meanlib.Duchi'>,0.0027928402872870253
100000,5.0,<class 'meanlib.PiecewiseMechanism'>,0.0004044983179121497
100000,5.0,<class 'meanlib.Laplace'>,0.001009579661604175
